Category,Firm,Principal,Title,City,Website,LinkedIn,Public contact,Email (find on site),Source,Confidence,Stage,Next touch,Notes
M&A advisors / business brokers,"Business Broker Experts, Inc.",Jim Beno,CEO / Certified Business Intermediary (CBI),"Naperville, IL",https://businessbrokerexpertsinc.com,https://www.linkedin.com/in/businessbrokerexpertsinc/,630-890-5072; https://businessbrokerexpertsinc.com/,,https://www.ibba.org/broker-profile/illinois/naperville/jim-beno/,high,Prospect,,"Independently confirmed via IBBA broker profile, LinkedIn, BBB (1755 Park St, Suite 200, Naperville, IL 60563; ph 630-890-5072), businessbroker.net, and the firm's own website. Naperville-based M&A brokerage/advisory serving Chicagoland; focuses on confidentially selling owner businesses with ~$1M-$"
M&A advisors / business brokers,"Joseph James Business Advisors, LLC",Joseph Turek,"Managing Partner (co-led with James Montesantos, Managing Partner)","Hinsdale, IL",https://josephjamesba.com,,https://josephjamesba.com/contact-us/,,https://josephjamesba.com/,high,Prospect,,"Independently re-confirmed. Hinsdale, IL-based M&A advisory / business brokerage serving DuPage County (listed as an Elite DuPage County business broker on BizQuest). Services: confidential business sales, mergers & acquisitions, joint ventures, fair-market-value / business valuations, strategic pla"
M&A advisors / business brokers,"Prairie Capital Advisors, Inc.",,,"Oakbrook Terrace, IL",https://www.prairiecap.com,https://www.linkedin.com/company/prairie-capital-advisors-inc,"One Lincoln Centre, 18W140 Butterfield Road, Suite 800, Oakbrook Terrace, IL 60181; https://www.prairiecap.com/locations/oakbrook-terrace-il",,https://www.prairiecap.com/locations/oakbrook-terrace-il,high,Prospect,,"Independently confirmed via firm website and multiple third-party sources (LinkedIn, Business View Magazine). Founded 1996, ESOP-owned investment bank specializing in ownership-transition strategies, M&A, ESOP advisory, valuations, and capital markets for middle-market companies. HQ office at One Li"
M&A advisors / business brokers,Transworld Business Advisors of Downers Grove,Larry Swanson,Business Broker,"Oak Brook / Downers Grove, IL",https://www.tworld.com/locations/illinois/downersgrove,,"2021 Midwest Road, Suite 200, Oak Brook, IL 60523; (630) 796-0070; https://www.tworld.com/locations/illinois/downersgrove",,https://www.tworld.com/agent/larryswanson/,high,Prospect,,"Independently re-confirmed via web search and multiple third-party listings (Chamber630, BizBuySell, BizQuest, IBBA). Franchise-affiliated brokerage at 2021 Midwest Road, Suite 200, Oak Brook, IL 60523, phone (630) 796-0070, serving Downers Grove and surrounding western/southwestern Chicago suburbs."
M&A advisors / business brokers,Transworld Business Advisors of La Grange,Matt Friscia,Business Broker / Co-Owner,"La Grange, IL",https://www.tworld.com/locations/lagrange/,https://www.linkedin.com/in/mattfriscia/,"(708) 328-8800 — 26 S La Grange Rd, La Grange, IL 60525",,https://www.tworld.com/agents/mattfriscia,high,Prospect,,"Confirmed real via Transworld's own agent page, BizBuySell, BizQuest, LinkedIn, and the La Grange Business Association member spotlight. Located directly in La Grange (adjacent to Western Springs), office opened 2021. Matt Friscia is a co-owner (with Tony Sansone) and business broker — LinkedIn prof"
M&A advisors / business brokers,VR Business Brokers of Oak Brook (Midwest VR),Dan Eitel,Managing Partner / Broker-Owner,"Oak Brook, IL",https://midwestvr.com,,"(630) 705-3055 — 2021 Midwest Rd. #200, Oak Brook, IL 60523; https://midwestvr.com/contact/",,https://www.bizbuysell.com/business-broker/dan-eitel/vr-business-brokers-of-oak-brook/722/,high,Prospect,,"Confirmed via own website, IBBA broker directory, BizBuySell, BizQuest, and the national VR Business Brokers network directory. Dan Eitel opened this VR office in 2003; office is independently owned/operated by Midwest Venture Resources, Inc. Serves the greater Chicago/Oak Brook region — directly in"
M&A advisors / business brokers,Morgan & Westfield (Naperville office),Jacob Orosz,President & Founder,"Naperville, IL",https://morganandwestfield.com/offices/naperville-illinois-business-brokers/,,https://morganandwestfield.com/offices/naperville-illinois-business-brokers/,,https://morganandwestfield.com/offices/naperville-illinois-business-brokers/,medium,Prospect,,"Verified: national M&A brokerage (HQ in Pennsylvania) with a Naperville, IL landing page serving local business owners on confidential sales, valuations, and M&A advisory. Naperville is within the target suburban footprint. The page names President/Founder Jacob Orosz as the point person nationally "
transaction & estate-planning attorneys,"Ellsworth Law, LLC",William Ellsworth,Founding Attorney,"Hinsdale, IL",https://www.ellsworth-law.com/,,630-873-2090,,https://www.ellsworth-law.com/,high,Prospect,,"Confirmed real boutique estate-planning firm at 19 North Grant Street, Hinsdale, IL 60521. Founded 2022 by William (Bill) Ellsworth, who has 15+ years experience, a JD cum laude from DePaul with a Certificate in Taxation, and holds the CFP designation. Practice covers sophisticated estate/gift/tax p"
transaction & estate-planning attorneys,Fornaro Law,Philip M. Fornaro,Founder / Managing Attorney,"La Grange, IL",https://www.fornarolaw.com/,https://www.linkedin.com/in/fornarolaw/,708-639-4320,,https://www.fornarolaw.com/,high,Prospect,,"Independently confirmed via web search: full-service firm at 1022 S La Grange Rd, La Grange, IL 60525, with La Grange and Hinsdale offices serving the western/southwestern Chicago suburbs. Approximately 8 attorneys. Phil/Philip Fornaro is the managing attorney (confirmed across firm site, Justia, Av"
transaction & estate-planning attorneys,"Gierach Law Firm, LLC",Denice Gierach,Founder / Principal Attorney (also a CPA),"Naperville, IL",https://www.gierachlawfirm.com/,https://www.linkedin.com/company/gierachlawfirm,630-756-1160,,https://www.gierachlawfirm.com/,high,Prospect,,"Confirmed real. Naperville, IL firm (400 East Diehl Road, Ste 100) with a second office in the Schaumburg/Hoffman Estates area. Serves Chicago and Northern Illinois including DuPage/Cook suburbs. Denice Gierach is the lead attorney and also a CPA with a Kellogg (Northwestern) management degree and p"
