indicator,BF,IP,runs_per_pa,rpp_lift,RA9,RA9_lift,WHIP,welch_t,welch_p,reliable
TTO2 top5 all Back,9964,2211.0,0.1456,0.0322,5.91,1.54,1.526,6.53,6.71e-11,True
TTO2 top4 all Back,8011,1761.0,0.1484,0.035,6.08,1.71,1.572,6.37,2.01e-10,True
TTO2 top3 all Back,6031,1317.3,0.1502,0.0368,6.19,1.82,1.604,5.85,5.17e-09,True
TTO3 top5 all Back,6714,1476.7,0.136,0.0226,5.56,1.2,1.527,4.07,4.79e-05,True
TTO3 top4 all Back,5774,1272.0,0.1347,0.0214,5.5,1.14,1.518,3.61,0.000308,True
TTO3 top4 all All,15002,3400.3,0.1264,0.0131,5.02,0.65,1.414,3.41,0.000645,True
TTO3 top5 all All,17502,3975.3,0.1253,0.0119,4.96,0.6,1.405,3.32,0.000895,True
TTO2 top4 all All,20059,4588.0,0.1237,0.0103,4.87,0.5,1.39,3.05,0.00231,True
TTO2 top5 all All,24977,5754.7,0.1222,0.0089,4.77,0.41,1.359,2.86,0.00422,True
TTO3 top3 all Back,4600,1008.7,0.1311,0.0177,5.38,1.01,1.536,2.69,0.00712,True
TTO3 top5 PC>75 All,8758,2010.0,0.1263,0.0129,4.95,0.58,1.36,2.65,0.00799,True
TTO3 top4 PC>75 Mid,2914,666.3,0.1349,0.0215,5.31,0.94,1.399,2.57,0.0102,True
TTO3 top4 PC>75 All,6775,1550.7,0.1274,0.014,5.01,0.64,1.37,2.56,0.0106,True
TTO2 top3 all All,15090,3432.3,0.1225,0.0091,4.85,0.48,1.414,2.41,0.016,True
TTO3 top4 all Mid,6387,1461.7,0.1262,0.0128,4.96,0.6,1.393,2.29,0.022,True
TTO3 top5 PC>75 Back,3208,715.3,0.1303,0.0169,5.26,0.89,1.45,2.19,0.0288,True
TTO3 top5 all Mid,7481,1718.3,0.124,0.0107,4.86,0.49,1.375,2.05,0.0403,True
TTO3 top5 PC>75 Mid,3774,874.0,0.128,0.0146,4.97,0.61,1.344,2.01,0.0447,True
TTO3 top3 all All,11897,2674.7,0.1217,0.0083,4.87,0.5,1.444,2.0,0.0452,True
TTO3 top3 PC>75 Mid,1999,442.3,0.1286,0.0152,5.23,0.86,1.526,1.56,0.118,False
TTO3 top3 PC>75 All,4644,1046.0,0.1225,0.0091,4.9,0.53,1.433,1.43,0.154,False
TTO3 top3 all Mid,5046,1137.7,0.1215,0.0081,4.85,0.48,1.448,1.33,0.183,False
TTO3 top3 PC>90 Ace,110,25.0,0.1727,0.0593,6.84,2.47,1.4,1.23,0.22,False
TTO3 top4 PC>90 Ace,172,40.3,0.1512,0.0378,5.8,1.43,1.264,1.08,0.283,False
TTO2 top5 PC>90 Back,114,28.3,0.1667,0.0533,6.04,1.67,1.129,0.98,0.328,False
TTO2 top4 PC>90 All,195,45.3,0.1487,0.0353,5.76,1.39,1.257,0.95,0.345,False
TTO3 top4 PC>75 Back,2475,556.7,0.1212,0.0078,4.85,0.48,1.408,0.94,0.35,False
TTO4 top3 PC>90 Mid,115,27.3,0.1478,0.0344,5.6,1.23,1.317,0.92,0.361,False
TTO4 top4 PC>90 Mid,123,28.7,0.1463,0.033,5.65,1.28,1.395,0.92,0.361,False
TTO2 top3 PC>75 Back,112,25.7,0.1518,0.0384,5.96,1.59,1.403,0.9,0.368,False
